ID#	1
Name	D
	Data Filename	Sample Name	Sample ID	Sample Type	Level#	Ret. Time	Area	Height	Intensity	ISTD Area	ISTD Height	ISTD Ret.Time	Area Ratio	Height Ratio	Conc.	Std. Conc.	Deviation	%Dev	Accuracy[%]	QC Check Results	Mark	Peak Start	Peak End	NTP(USP)	NTP(JP)	NTP(JP2)	NTP(EP)	NTP(BP)	NTP(DAB)	NTP(EMG)	NTP(EMG(50%))	NTP(Area/Height)	NTP(USP2)	NTP	NTP	NTP	NTP	NTP	NTP(User Defined)	HETP(USP)	HETP(JP)	HETP(JP2)	HETP(EP)	HETP(BP)	HETP(DAB)	HETP(EMG)	HETP(EMG(50%))	HETP(Area/Height)	HETP(USP2)	HETP	HETP	HETP	HETP	HETP	HETP(User Defined)	T.Plates/meter(USP)	T.Plates/meter(JP)	T.Plates/meter(JP2)	T.Plates/meter(EP)	T.Plates/meter(BP)	T.Plates/meter(DAB)	T.Plates/meter(EMG)	T.Plates/meter(EMG(50%))	T.Plates/meter(Area/Height)	T.Plates/meter(USP2)	T.Plates/meter	T.Plates/meter	T.Plates/meter	T.Plates/meter	T.Plates/meter	T.Plates/meter(User Defined)	Tailing F.	Tailing F(10%)	Resolution(USP)	Resolution(JP)	Resolution(JP2)	Resolution(EP)	Resolution(BP)	Resolution(DAB)	Resolution(EMG)	Resolution(EMG(50%))	Resolution(Area/Height)	Resolution(USP2)	Resolution	Resolution	Resolution	Resolution	Resolution	Resolution(User Defined)	k'	Separation	Peak Valley Ratio	Area%	Height%	USP Width	Width(5%)	Width(10%)	Width(50%)	Relative Retention Time	Vial#	Tray	Cal. Point	S/N	Noise	Quant. Limit(QL)	Detect. Limit(DL)	RF	Mean RF	RF SD	RF %RSD	Calib.Point Mean Area	Calib.Point Area SD	Calib.Point Area %RSD	Calib.Point Mean Height	Calib.Point Height SD	Calib.Point Height %RSD	Dev.Ratio	Date Acquired	Custom Calc.Result 1	Custom Calc.Result 2	Custom Calc.Result 3	Custom Calc.Result 4	Custom Calc.Result 5	Statistic	DRE Wavelength	DRE Factor	DRE Time	m/z	Ref.1 m/z	Ref.1 Ident.Range%	Ref.1 Act%	Ref.1 Result	Ref.1 Inten.	Ref.2 m/z	Ref.2 Ident.Range%	Ref.2 Act%	Ref.2 Result	Ref.2 Inten.	Ref.3 m/z	Ref.3 Ident.Range%	Ref.3 Act%	Ref.3 Result	Ref.3 Inten.	Ref.4 m/z	Ref.4 Ident.Range%	Ref.4 Act%	Ref.4 Result	Ref.4 Inten.	Ref.5 m/z	Ref.5 Ident.Range%	Ref.5 Act%	Ref.5 Result	Ref.5 Inten.	Dilution Factor	Sample Amount
1	S9.lcd	4 1 LAB CONTROL_BLANK_IS 1	4 1 LAB CONTROL_BLANK_IS 1	Unknown	1	2.343	775498	262645	265719	4191898	1400873	2.339	0.184999	0.187486	1.1117e+001	-----	-----	-----	-----	Quant.Range(High)	   	2.287	2.438	12382	13374	13398	13374	13374	13374	13109	13109	14237	0	0	0	0	0	0	0	12.114	11.216	11.196	11.216	11.216	11.216	11.442	11.442	10.536	0.000	0.000	0.000	0.000	0.000	0.000	0.000	82549	89158	89319	89158	89158	89158	87394	87394	94911	0	0	0	0	0	0	0	1.145	1.140	--	--	--	--	--	--	--	--	--	0.000	0.000	0.000	0.000	0.000	0.000	--	0.000	--	--	100.000	100.000	0.084	0.093	0.083	0.048		54	1	-----	1807.53	145.31	0.06	0.02	0.000000e+000	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	1/21/2014 8:53:20 PM	0.00000	0.00000	0.00000	0.00000	0.00000		--	--	--	243.10>127.10	TIC	0.00 - 30.00	0.00	Pass	0	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	1	1
2	S8.lcd	4 2 LAB STD.1 1 1	4 2 LAB STD.1 1 1	Standard(Calc.Point)	1	2.343	726665	243314	245489	4128341	1370495	2.338	0.176019	0.177537	1.0577e+001	10	5.7694e-001	5.77	105.8		   	2.280	2.421	12431	13548	13573	13548	13548	13548	13282	13282	13920	0	0	0	0	0	0	0	12.067	11.072	11.052	11.072	11.072	11.072	11.294	11.294	10.776	0.000	0.000	0.000	0.000	0.000	0.000	0.000	82870	90320	90483	90320	90320	90320	88543	88543	92800	0	0	0	0	0	0	0	1.111	1.103	--	--	--	--	--	--	--	--	--	0.000	0.000	0.000	0.000	0.000	0.000	--	0.000	--	--	100.000	100.000	0.084	0.093	0.084	0.047		53	1	*	1482.09	164.17	0.07	0.02	1.760190e-002	1.664174e-002	8.519459e-003	51.193337	0.1664173	0.0851946	51.19334	0.1689496	0.0863307	51.09847	0.0577	1/21/2014 8:46:42 PM	0.00000	0.00000	0.00000	0.00000	0.00000	*	--	--	--	243.10>127.10	TIC	0.00 - 30.00	0.00	Pass	0	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	1	1
3	S7.lcd	4 3 LAB STD.2 1 1	4 3 LAB STD.2 1 1	Standard(Calc.Point)	1	2.343	1174806	390924	394666	4118842	1358106	2.339	0.285227	0.287845	1.7139e+001	10	7.1393e+000	71.39	171.4		   	2.280	2.421	12097	13087	13111	13087	13087	13087	13148	13148	13742	0	0	0	0	0	0	0	12.400	11.462	11.441	11.462	11.462	11.462	11.408	11.408	10.916	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80646	87248	87406	87248	87248	87248	87656	87656	91611	0	0	0	0	0	0	0	1.124	1.118	--	--	--	--	--	--	--	--	--	0.000	0.000	0.000	0.000	0.000	0.000	--	0.000	--	--	100.000	100.000	0.085	0.093	0.084	0.048		52	1	*	2309.87	169.24	0.07	0.02	2.852270e-002	1.664174e-002	8.519459e-003	51.193337	0.1664173	0.0851946	51.19334	0.1689496	0.0863307	51.09847	0.7139	1/21/2014 8:40:04 PM	0.00000	0.00000	0.00000	0.00000	0.00000	*	--	--	--	243.10>127.10	TIC	0.00 - 30.00	0.00	Pass	0	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	1	1
4	S6.lcd	4 4 LAB STD.3 1 1	4 4 LAB STD.3 1 1	Standard(Calc.Point)	1	2.349	910593	302755	305845	3995722	1301812	2.345	0.227892	0.232564	1.3694e+001	10	3.6940e+000	36.94	136.9		   	2.287	2.431	12035	13282	13306	13282	13282	13282	13137	13137	13799	0	0	0	0	0	0	0	12.464	11.293	11.273	11.293	11.293	11.293	11.418	11.418	10.871	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80232	88549	88709	88549	88549	88549	87580	87580	91991	0	0	0	0	0	0	0	1.107	1.096	--	--	--	--	--	--	--	--	--	0.000	0.000	0.000	0.000	0.000	0.000	--	0.000	--	--	100.000	100.000	0.086	0.094	0.085	0.048		51	1	*	1837.51	164.76	0.07	0.02	2.278920e-002	1.664174e-002	8.519459e-003	51.193337	0.1664173	0.0851946	51.19334	0.1689496	0.0863307	51.09847	0.3694	1/21/2014 8:33:25 PM	0.00000	0.00000	0.00000	0.00000	0.00000	*	--	--	--	243.10>127.10	TIC	0.00 - 30.00	0.00	Pass	0	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	1	1
5	S5.lcd	4 5 LAB STD.4 1 1	4 5 LAB STD.4 1 1	Standard(Calc.Point)	1	2.350	767827	257610	259932	4132625	1371247	2.346	0.185796	0.187865	1.1164e+001	10	1.1645e+000	11.64	111.6		   	2.287	2.445	12195	13154	13178	13154	13154	13154	13174	13174	14060	0	0	0	0	0	0	0	12.301	11.403	11.383	11.403	11.403	11.403	11.386	11.386	10.668	0.000	0.000	0.000	0.000	0.000	0.000	0.000	81297	87694	87852	87694	87694	87694	87824	87824	93737	0	0	0	0	0	0	0	1.123	1.114	--	--	--	--	--	--	--	--	--	0.000	0.000	0.000	0.000	0.000	0.000	--	0.000	--	--	100.000	100.000	0.085	0.094	0.084	0.048		50	1	*	1644.85	156.62	0.07	0.02	1.857960e-002	1.664174e-002	8.519459e-003	51.193337	0.1664173	0.0851946	51.19334	0.1689496	0.0863307	51.09847	0.1164	1/21/2014 8:26:47 PM	0.00000	0.00000	0.00000	0.00000	0.00000	*	--	--	--	243.10>127.10	TIC	0.00 - 30.00	0.00	Pass	0	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	1	1
6	S4.lcd	4 6 LAB STD.5 1 1	4 6 LAB STD.5 1 1	Standard(Calc.Point)	1	2.342	154119	52886	53490	4510966	1503497	2.337	0.0341655	0.0351753	2.0530e+000	10	-7.9470e+000	-79.47	20.5		   	2.252	2.424	12557	13742	13767	13742	13742	13742	14236	14236	14611	0	0	0	0	0	0	0	11.945	10.915	10.896	10.915	10.915	10.915	10.536	10.536	10.266	0.000	0.000	0.000	0.000	0.000	0.000	0.000	83714	91614	91779	91614	91614	91614	94909	94909	97406	0	0	0	0	0	0	0	1.076	1.061	9.744	9.733	9.733	9.733	9.733	9.733	11.044	9.733	10.256	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.426	0.000	--	99.619	99.500	0.084	0.092	0.082	0.047		49	1	*	439.45	120.35	0.05	0.02	3.416550e-003	1.664174e-002	8.519459e-003	51.193337	0.1664173	0.0851946	51.19334	0.1689496	0.0863307	51.09847	-0.7947	1/21/2014 8:20:10 PM	0.00000	0.00000	0.00000	0.00000	0.00000	*	--	--	--	243.10>127.10	TIC	0.00 - 30.00	0.00	Pass	0	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	1	1
7	S3.lcd	4 7 LAB STD.6 1 1	4 7 LAB STD.6 1 1	Standard(Calc.Point)	1	2.337	204314	68579	68722	4151430	1388860	2.333	0.0492153	0.0493777	2.9573e+000	10	-7.0427e+000	-70.43	29.6		   	2.266	2.431	12487	13293	13317	13293	13293	13293	13441	13441	13918	0	0	0	0	0	0	0	12.013	11.284	11.264	11.284	11.284	11.284	11.160	11.160	10.777	0.000	0.000	0.000	0.000	0.000	0.000	0.000	83246	88618	88777	88618	88618	88618	89604	89604	92788	0	0	0	0	0	0	0	1.111	1.105	--	--	--	--	--	--	--	--	--	0.000	0.000	0.000	0.000	0.000	0.000	--	0.000	--	--	100.000	100.000	0.084	0.092	0.083	0.048		48	1	*	477.49	143.62	0.06	0.02	4.921530e-003	1.664174e-002	8.519459e-003	51.193337	0.1664173	0.0851946	51.19334	0.1689496	0.0863307	51.09847	-0.7043	1/21/2014 8:13:32 PM	0.00000	0.00000	0.00000	0.00000	0.00000	*	--	--	--	243.10>127.10	TIC	0.00 - 30.00	0.00	Pass	0	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	1	1
8	S2.lcd	4 8 LAB STD.7 1 1	4 8 LAB STD.7 1 1	Standard(Calc.Point)	1	2.342	887487	291904	295282	4419187	1422627	2.338	0.200826	0.205186	1.2068e+001	10	2.0676e+000	20.68	120.7		   	2.266	2.438	11535	12471	12493	12471	12471	12471	13029	13029	13420	0	0	0	0	0	0	0	13.004	12.028	12.006	12.028	12.028	12.028	11.513	11.513	11.177	0.000	0.000	0.000	0.000	0.000	0.000	0.000	76899	83139	83289	83139	83139	83139	86860	86860	89469	0	0	0	0	0	0	0	1.085	1.080	--	--	--	--	--	--	--	--	--	0.000	0.000	0.000	0.000	0.000	0.000	--	0.000	--	--	100.000	100.000	0.087	0.094	0.085	0.049		47	1	*	2226.01	131.13	0.05	0.02	2.008260e-002	1.664174e-002	8.519459e-003	51.193337	0.1664173	0.0851946	51.19334	0.1689496	0.0863307	51.09847	0.2068	1/21/2014 8:06:50 PM	0.00000	0.00000	0.00000	0.00000	0.00000	*	--	--	--	243.10>127.10	TIC	0.00 - 30.00	0.00	Pass	0	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	1	1
9	S1.lcd	4 9 LAB STD.8 1 1	4 9 LAB STD.8 1 1	Standard(Calc.Point)	1	2.342	757800	246326	248700	4400748	1399207	2.338	0.172198	0.176047	1.0347e+001	10	3.4736e-001	3.47	103.5		   	2.273	2.438	11305	12096	12118	12096	12096	12096	13005	13005	13103	0	0	0	0	0	0	0	13.268	12.400	12.378	12.400	12.400	12.400	11.534	11.534	11.448	0.000	0.000	0.000	0.000	0.000	0.000	0.000	75368	80643	80788	80643	80643	80643	86701	86701	87355	0	0	0	0	0	0	0	1.082	1.076	--	--	--	--	--	--	--	--	--	0.000	0.000	0.000	0.000	0.000	0.000	--	0.000	--	--	100.000	100.000	0.088	0.095	0.086	0.050		46	1	*	1288.81	191.13	0.08	0.03	1.721980e-002	1.664174e-002	8.519459e-003	51.193337	0.1664173	0.0851946	51.19334	0.1689496	0.0863307	51.09847	0.0347	1/21/2014 8:00:12 PM	0.00000	0.00000	0.00000	0.00000	0.00000	*	--	--	--	243.10>127.10	TIC	0.00 - 30.00	0.00	Pass	0	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	1	1
10	BLANK-3.lcd	4 10 LAB CONTROL_BLANK 1	4 10 LAB CONTROL_BLANK 1	Unknown	1	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----		-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	--	-----	-----	-----	-----	-----	-----		13	1	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	1/21/2014 7:53:34 PM	-----	-----	-----	-----	-----		--	--	--	243.10>127.10	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	1	1
